¼ø¹ø,ÀÛÇ°¸í,ÀÎ¹°¸í,ÀÛÁß ³ªÀÌ,¼ºº°,Ãâ»ýÁö,¿¬·É´ë,½ÅºÐÀ¯Çü,¿ø½Ãµ¥ÀÌÅÍ,ÅÂ±ë µ¥ÀÌÅÍ
11494,ÀÀ´äÇÏ¶ó1994,±èµ¿ÁØ,19,³²,ÃæºÏ ±«»ê,10´ë,´ëÇÐ»ý,ÀÌ ±âÀÚ°¡ º¯ÅÂ¾Æ³à? °©ÀÚ±â ¸ñ´ú¹Ì¸¦ ¿Ö,ÀÌ__05/MM ±âÀÚ__05/NNG+°¡/JKS º¯ÅÂ/NNG+¾Æ´Ï/VCN+¾î/EF+?/SF °©ÀÚ±â/MAG ¸ñ´ú¹Ì/NNG+¸¦/JKO ¿Ö__02/MAG
11495,ÀÀ´äÇÏ¶ó1994,¼º³ªÁ¤,19,¿©,°æ³² ¸¶»ê,10´ë,´ëÇÐ»ý,¿©ÀÚ´Â »ç¶ûÇÏ´Â »ç¶÷ ¾Õ¿¡¼­,¿©ÀÚ__02/NNG+´Â/JX »ç¶ûÇÏ/VV+´Â/ETM »ç¶÷/NNG ¾Õ/NNG+¿¡¼­/JKB
11496,ÀÀ´äÇÏ¶ó1994,¼º³ªÁ¤,19,¿©,°æ³² ¸¶»ê,10´ë,´ëÇÐ»ý,ÀÚ±âµµ ¸ð¸£°Ô ¸ñ´ú¹Ì¸¦ º¸¿©ÁÖ°í½ÍÀº ½É¸®°¡ ÀÖ´Âµ¥,ÀÚ±â__04/NP+µµ/JX ¸ð¸£/VV+°Ô/EC ¸ñ´ú¹Ì/NNG+¸¦/JKO º¸ÀÌ__02/VV+¾î/EC+ÁÖ__01/VX+°í/EC+½Í/VX+Àº/ETM ½É¸®__01/NNG+°¡/JKS ÀÖ__01/VA+´Âµ¥/EC
11497,ÀÀ´äÇÏ¶ó1994,¼º³ªÁ¤,19,¿©,°æ³² ¸¶»ê,10´ë,´ëÇÐ»ý,ÁøÂ¥·Î?,ÁøÂ¥/NNG+·Î/JKB+?/SF
11498,ÀÀ´äÇÏ¶ó1994,¼º³ªÁ¤,19,¿©,°æ³² ¸¶»ê,10´ë,´ëÇÐ»ý,ÀÌ¶õ´Ù°í?,ÀÌ·¯/VV+¤¤´Ù°í/EF+?/SF
11499,ÀÀ´äÇÏ¶ó1994,¼º³ªÁ¤,19,¿©,°æ³² ¸¶»ê,10´ë,´ëÇÐ»ý,¾¹,¾¹/VA
11500,ÀÀ´äÇÏ¶ó1994,¼ÕÈ£ÁØ,19,³²,Àü³² ¼øÃµ,10´ë,´ëÇÐ»ý,(ÇØÅÂ)¾Ï½Ã·ÕÅÍ ¾ÈÇÑµð,(/SS+ÇØÅÂ/NNP+)/SS+¾Ï½Ã·Õ/NNG+ÅÍ__01/NNG ¾È__02/MAG+ÇÏ__01/VV+¤¤µð/EC
11501,ÀÀ´äÇÏ¶ó1994,±èµ¿ÁØ,19,³²,ÃæºÏ ±«»ê,10´ë,´ëÇÐ»ý,(±×·¹)±âÀÚ°¡ º¯ÅÄ°Å °°Àºµð,(/SS+±×·¹__01/NNG+)/SS+±âÀÚ__05/NNG+°¡/JKS º¯__09/NNG+ÅÄ/NNG+°Í__01/NNB+ÀÌ/VCP °°/VA+Àºµð/EC
11502,ÀÀ´äÇÏ¶ó1994,ÀÌÀÏÈ­,47,¿©,°æ³² ¸¶»ê,40´ë,ÁÖºÎ,¾ÆÀÌ°í,¾ÆÀÌ°í/IC
11503,ÀÀ´äÇÏ¶ó1994,¼ºµ¿ÀÏ,47,³²,Àü³² °î¼º,40´ë,ÄÚÄ¡,¾Æµû~¿ì¸® ¸¶´©¶ó ,¾Æµû__01/IC+~/SO+¿ì¸®__01/NNG ¸¶´©¶ó__01/NNG
11504,ÀÀ´äÇÏ¶ó1994,¼ºµ¿ÀÏ,47,³²,Àü³² °î¼º,40´ë,ÄÚÄ¡,¸Ó¸®½ºÅ¸ÀÏ °í·ÎÄÞÇ×²²·Î ¿ÕÁ¶ÇöÀÌ ´à¾Ò³×À× Ã»¼øÇÏ´Ï..,¸Ó¸®__01/NNG+½ºÅ¸ÀÏ/NNG °í·Î__01/MAG+ÄÞ/NNG+Ç×__08/NNG+²²/JKB+·Î/JKB ¿ÕÁ¶Çö/NNP+ÀÌ/JKS ´à/VV+¾Ò/EP+³×À×/EC Ã»¼øÇÏ__01/VA+´Ï/EF+./SF+./SF
11505,ÀÀ´äÇÏ¶ó1994,ÀÌÀÏÈ­,47,¿©,°æ³² ¸¶»ê,40´ë,ÁÖºÎ,Ä¡~ ¿Í? ±Í½Å°°´Ù´Â±â°¡,Ä¡__05/IC+~/SO ¿À__01/VV+¾Æ/EF+?/SF ±Í½Å__01/NNG+°°/VA+´Ù´Â/ETM+±â/ETN+°¡/JKS
11506,ÀÀ´äÇÏ¶ó1994,¼ºµ¿ÀÏ,47,³²,Àü³² °î¼º,40´ë,ÄÚÄ¡,¾Æµû ÀÌ»ç¶÷¾Æ ¹¹ ¸»À» ±×¶þ°Ô ÇØ,¾Æµû__01/IC ÀÌ__05/MM+»ç¶÷/NNG+¾Æ/JKV ¹¹/NP ¸»__01/NNG+À»/JKO ±×¶þ/NNP+°Ô/EC ÇÏ__01/VV+¾î/EC
11507,ÀÀ´äÇÏ¶ó1994,¼ºµ¿ÀÏ,47,³²,Àü³² °î¼º,40´ë,ÄÚÄ¡,ÀÌ»Ú´ç²²~ÈåÈåÈåÈå,ÀÌ»Ú/VA+´ç²²/EC+~/SO+Èå/NNG+ÈåÈåÈå/MAG
11508,ÀÀ´äÇÏ¶ó1994,¼ºµ¿ÀÏ,47,³²,Àü³² °î¼º,40´ë,ÄÚÄ¡,¿ö¹Ì¿ö¹Ì~¸ð°¡Áö¸¦ ±×³É È® ¹°¾îºÒ·¡´Ï±ø,¾î/EC+¹Ì__14/NNP+¾î/EC+¹Ì__14/NNP+~/SO+¸ð°¡Áö__01/NNG+¸¦/JKO ±×³É/MAG È®__02/MAG ¹°__02/VV+¾î/EC+ºÒ__04/VX+·¡/EC+´Ï/EC+±ø__01/NNG
11509,ÀÀ´äÇÏ¶ó1994,¼ºµ¿ÀÏ,47,³²,Àü³² °î¼º,40´ë,ÄÚÄ¡,¾Æ ´ëºÁ ´ëºÁ,¾Æ__02/IC ´ëº¸/VV+¾Æ/EC ´ëº¸/VV+¾Æ/EF
11510,ÀÀ´äÇÏ¶ó1994,ÀÌÀÏÈ­,47,¿©,°æ³² ¸¶»ê,40´ë,ÁÖºÎ,¾ÆÀ¯ ´õ¹ö¶ó ¸¶¸£¸é ¹­À»¶ó Çß´Âµ¥ ¾ÈµÇ°Ú´Ù,¾ÆÀ¯__01/IC ´õ¹ö/NNP+ÀÌ/VCP+¶ó/EC ¸¶¸£__01/VV+¸é/EC ¹­/VV+À»¶ó/EC ÇÏ__01/VV+¾ú/EP+´Âµ¥/EC ¾ÈµÇ__01/VV+°Ú/EP+´Ù/EF
11511,ÀÀ´äÇÏ¶ó1994,¼ºµ¿ÀÏ,47,³²,Àü³² °î¼º,40´ë,ÄÚÄ¡,¾Æ ¹¹¶Ç ÀÚ²Ù ¹­´Â´ç²²~ ³­ ÀÌ ¸ð°¡Áö°¡ ÁÁ±¸¸¶,¾Æ__02/IC ¹¹/NP+¶Ç/MAG ÀÚ²Ù__01/MAG ¹­/VV+´Â/ETM+´ç²²/EC+~/SO ³ª__03/NP+¤¤/JX ÀÌ__05/MM ¸ð°¡Áö__01/NNG+°¡/JKS ÁÁ__01/VA+±¸¸¶/EF
11512,ÀÀ´äÇÏ¶ó1994,ÀÌÀÏÈ­,47,¿©,°æ³² ¸¶»ê,40´ë,ÁÖºÎ,¾ÆÀ¯~ ³ö¶ó~ ´þ´Ù~,¾ÆÀ¯__01/IC+~/SO ³õ__01/VV+¾Æ¶ó/EC+~/SO ´þ__01/VA+´Ù/EC+~/SO
11513,ÀÀ´äÇÏ¶ó1994,¼ºµ¿ÀÏ,47,³²,Àü³² °î¼º,40´ë,ÄÚÄ¡,Äã ÇÇ »¡¾Æ ¹°°ÍÀÌ¿© ÀÏ·ç¿ÍºÁ,Äã/MAG ÇÇ__02/NNG »¡__02/VV+¾Æ/EC ¹°°Í/NNG+ÀÌ¿©/JKV ÀÏ·ç¿Í/NNP+º¸__01/VV+¾Æ/EC
11514,ÀÀ´äÇÏ¶ó1994,¼º³ªÁ¤,19,¿©,°æ³² ¸¶»ê,10´ë,´ëÇÐ»ý,(³ªÁ¤)¾ÆÀ¯¾ÆÀ¯¾ÆÀ¯¾ÆÀ¯ ,(/SS+³ªÁ¤/NNP+)/SS+¾ÆÀ¯__01/IC+¾Æ/EC+À¯¾Æ__01/NNG+À¯¾ÆÀ¯/NNP
11515,ÀÀ´äÇÏ¶ó1994,¼º³ªÁ¤,19,¿©,°æ³² ¸¶»ê,10´ë,´ëÇÐ»ý,°í¸¶ µý ‹šÃ³·³ °í¸¶ Ä¡°í¹Ú°í ½Î¿ì´Â°Ô ´õ ¾È³µ³ª ,°í¸¶/MAG µý__03/MM ‹š/SL+Ã³·³/JKB °í¸¶/MAG Ä¡__02/VV+°í/EC+¹Ú__01/VV+°í/EC ½Î¿ì/VV+´Â/ETM+°Í__01/NNB+ÀÌ/JKS ´õ__01/MAG ¾È__02/MAG+³ª__01/VV+¾Ò/EP+³ª/EC
11516,ÀÀ´äÇÏ¶ó1994,¼º³ªÁ¤,19,¿©,°æ³² ¸¶»ê,10´ë,´ëÇÐ»ý,±×¸® ÁÁ³ª,±×¸®__02/MAG ÁÁ__01/VA+³ª/EC
11517,ÀÀ´äÇÏ¶ó1994,¼ºµ¿ÀÏ,47,³²,Àü³² °î¼º,40´ë,ÄÚÄ¡,±×·³ ÁÁÁö ³ª»Ú°Í³Ä,±×·³__01/MAJ ÁÁ__01/VA+Áö/EC ³ª»Ú__01/VA+°Í/EP+³Ä/EC
11518,ÀÀ´äÇÏ¶ó1994,¼º³ªÁ¤,19,¿©,°æ³² ¸¶»ê,10´ë,´ëÇÐ»ý,ÁÁ¾ÆÁ×´Â´Ù ÁøÂ¥ ¾ÆÀ¯,ÁÁ__01/VA+¾Æ/EC+Á×__01/VV+´Â´Ù/EC ÁøÂ¥/NNG ¾ÆÀ¯__01/IC
11519,ÀÀ´äÇÏ¶ó1994,¼º³ªÁ¤,19,¿©,°æ³² ¸¶»ê,10´ë,´ëÇÐ»ý,¾ÆÀ¯ Àß¸Ô°Ú½À´Ï´Ù,¾ÆÀ¯__01/IC Àß__02/MAG+¸Ô__02/VV+°Ú/EP+½À´Ï´Ù/EC
11520,ÀÀ´äÇÏ¶ó1994,±èÀçÁØ,23,³²,°æ³² ¸¶»ê,20´ë,ÀÇ»ç,-(¾²)¾È³çÈ÷ ÁÖ¹«¼Ì½À´Ï²¨~,-/SO+(/SS+¾²__03/NNP+)/SS+¾È³çÈ÷/MAG ÁÖ¹«½Ã/VV+¾ú/EP+½À´Ï²¨/EC+~/SO
11521,ÀÀ´äÇÏ¶ó1994,¼ºµ¿ÀÏ,47,³²,Àü³² °î¼º,40´ë,ÄÚÄ¡,-(µ¿ÀÏ)¾î ¾ð´É¿Í ¾ð´É,-/SO+(/SS+µ¿ÀÏ__02/NNG+)/SS+¾î__02/IC ¾ð´É/NNG+¿Í/JKB ¾ð´É/MAG
11522,ÀÀ´äÇÏ¶ó1994,¼ºµ¿ÀÏ,47,³²,Àü³² °î¼º,40´ë,ÄÚÄ¡,µý³ðµéÀº?  ¾ð´É ¾Æ ¹¹´Üµ¥ ¾ð´É ¾È¿À°í,µý__03/MM+³ð__01/NNB+µé__09/XSN+Àº/JX+?/SF ¾ð´É/MAG ¾Æ__02/IC ¹¹/NP+´Þ__07/VA+¤¤µ¥/EC ¾ð´É/MAG ¾È__02/MAG+¿À__01/VV+°í/EC
11523,ÀÀ´äÇÏ¶ó1994,ÀÌÀÏÈ­,47,¿©,°æ³² ¸¶»ê,40´ë,ÁÖºÎ,-(ÀÏÈ­)¾Æ ±×·¡ ¸ÔÀÚ,-/SO+(/SS+ÀÏÈ­/NNP+)/SS+¾Æ__02/IC ±×·¡__01/IC ¸Ô__02/VV+ÀÚ/EF
11524,ÀÀ´äÇÏ¶ó1994,¼ºµ¿ÀÏ,47,³²,Àü³² °î¼º,40´ë,ÄÚÄ¡,À½¸Å? ÁÙ¸ÂÃç¿À³» ÀÌ½ÃÅ°µé,À½¸Å__01/MAG+?/SF ÁÙ__01/NNG+¸ÂÃß__01/VV+¾î/EC+¿À³»/NNG ÀÌ½Ã__88/NNG+Å°__04/NNG+µé__09/XSN
11525,ÀÀ´äÇÏ¶ó1994,¼ºµ¿ÀÏ,47,³²,Àü³² °î¼º,40´ë,ÄÚÄ¡,°Å±â ¾É¾î,°Å±â__01/NP ¾É/VV+¾î/EC
11526,ÀÀ´äÇÏ¶ó1994,¼ÕÈ£ÁØ,19,³²,Àü³² ¼øÃµ,10´ë,´ëÇÐ»ý,-¾È³çÇÏ¼¼¿ä~,-/SO+¾È³çÇÏ/VA+¼¼¿ä/EC+~/SO
11527,ÀÀ´äÇÏ¶ó1994,¼ºµ¿ÀÏ,47,³²,Àü³² °î¼º,40´ë,ÄÚÄ¡,À¸ÀÀ ÈåÈåÈå,À¸ÀÀ/IC ÈåÈåÈå/MAG
11528,ÀÀ´äÇÏ¶ó1994,±è¼º±Õ,17,³²,°æ³² »çÃµ,10´ë,´ëÇÐ»ý,¿À´Ã ¶Ç Ä«·¹¶óÀÌ½À´Ï²¨,¿À´Ã/NNG ¶Ç/MAG Ä«·¹¶ó/NNP+ÀÌ/MM+½À´Ï²¨/EF
11529,ÀÀ´äÇÏ¶ó1994,±èÀçÁØ,23,³²,°æ³² ¸¶»ê,20´ë,ÀÇ»ç,-°í¸¶ ±×³É ÁÖ´Â´ë·Î ! ,-/SO+°í¸¶/MAG ±×³É/MAG ÁÖ__01/VV+´Â/ETM+´ë·Î__01/NNB !/SF
11530,ÀÀ´äÇÏ¶ó1994,±èÀçÁØ,23,³²,°æ³² ¸¶»ê,20´ë,ÀÇ»ç,Ã³¹« ÀÓ¸¶,Ã³¹«/NNG ÀÓ¸¶/IC
11531,ÀÀ´äÇÏ¶ó1994,¼ÕÈ£ÁØ,19,³²,Àü³² ¼øÃµ,10´ë,´ëÇÐ»ý,¾Æ ¿ä»õµé¾î¼­´Â ¿ì¸®°¡ ÀÎµµ»ç¶÷º¸´Ù Ä«·¹¸¦ ´õ¸Ô´Â°Å °°´Ù´Ï±ñ¿ä,¾Æ__02/IC ¿ä»õ/MAG+µé¾î¼­/VV+´Â/ETM ¿ì¸®__03/NP+°¡/JKS ÀÎµµ__08/NNP+»ç¶÷/NNG+º¸´Ù/JKB Ä«·¹/NNG+¸¦/JKO ´õ__01/MAG+¸Ô__02/VV+´Â/ETM+°Í__01/NNB+ÀÌ/VCP °°/VA+´Ù´Ï±ñ¿ä/EF
11532,ÀÀ´äÇÏ¶ó1994,±è¼±ÁØ,19,³²,¼­¿ï °­³²,10´ë,¾ß±¸¼±¼ö,¾ß ±×³É Á» ´ÚÄ¡°í °¨»çÇÕ´Ï´Ù ¸ÔÀ¸¸é ¾ÈµÇ³Ä,¾ß__04/IC ±×³É/MAG Á»__02/MAG ´ÚÄ¡__02/VV+°í/EC °¨»çÇÏ__05/VV+¤²´Ï´Ù/EC ¸Ô__02/VV+À¸¸é/EC ¾ÈµÇ__01/VV+³Ä/EF
11533,ÀÀ´äÇÏ¶ó1994,±è¼±ÁØ,19,³²,¼­¿ï °­³²,10´ë,¾ß±¸¼±¼ö,´Ï³×°¡ ¾ðÁ¦ ¿ì¸® ÄÚÄ¡´Ô²²¼­ ÇØÁÖ½Ã´Â Ä«·¹¸¦ ¸Àº¸°Ú³Ä ¾î?,´Ï__05/NP+³×__08/XSN+°¡/JKS ¾ðÁ¦__01/MAG ¿ì¸®__03/NP ÄÚÄ¡/NNG+´Ô__04/XSN+²²¼­/JKS ÇÏ__01/VV+¾î/EC+ÁÖ__01/VX+½Ã/EP+´Â/ETM Ä«·¹/NNG+¸¦/JKO ¸Àº¸__01/VV+°Ú/EP+³Ä/EC ¾î__02/IC+?/SF
11534,ÀÀ´äÇÏ¶ó1994,ÀÌÀÏÈ­,47,¿©,°æ³² ¸¶»ê,40´ë,ÁÖºÎ,¹Ì¾ÈÅ¸,¹Ì¾ÈÇÏ/VA+´Ù/EF
11535,ÀÀ´äÇÏ¶ó1994,ÀÌÀÏÈ­,47,¿©,°æ³² ¸¶»ê,40´ë,ÁÖºÎ,¾ö¸¶ ¾Æ ³ºÀ»¶§ ±îÁö¸¸ ÂÉ¸Å¸¸ Âü¾Æ¶ó,¾ö¸¶/NNG ¾Æ__02/IC ³º__01/VV+À»/ETM+¶§__01/NNG ±îÁö/JX+¸¸/JX ÂÉ¸Å¸¸/MAG Âü/VV+¾Æ¶ó/EF
11536,ÀÀ´äÇÏ¶ó1994,ÀÌÀÏÈ­,47,¿©,°æ³² ¸¶»ê,40´ë,ÁÖºÎ,´ã¿¡ ¸À³­°Å ¸¹~ÀÌ ÇØÁÖ²²À×,´ã__01/NNG+¿¡/JKB ¸À__01/NNG+³­°Å/NNG ¸¹/VA+~/SO+ÀÌ/IC ÇØÁÖ__02/NNP+²²__05/XSN+À×/IC
11537,ÀÀ´äÇÏ¶ó1994,¼º³ªÁ¤,19,¿©,°æ³² ¸¶»ê,10´ë,´ëÇÐ»ý,°³¾ÈÅ¸ ¾ö¸¶,°³¾ÈÇÏ__01/VV+¾Æ/EC ¾ö¸¶/NNG
11538,ÀÀ´äÇÏ¶ó1994,¼º³ªÁ¤,19,¿©,°æ³² ¸¶»ê,10´ë,´ëÇÐ»ý,½Å°æ¾È½áµµ µÈ´Ù,½Å°æ__04/NNG+¾È__02/MAG+¾²__03/VV+¾îµµ/EC µÇ__01/VV+¤¤´Ù/EF
11539,ÀÀ´äÇÏ¶ó1994,¼º³ªÁ¤,19,¿©,°æ³² ¸¶»ê,10´ë,´ëÇÐ»ý,¾ö¸¶ ¾Æ ¹è°í¼­ ¾ßµé ½Å°æ ¸ó½áÁØ´Ù°í µýµ¥°¡¶óÄº´Âµ¥,¾ö¸¶/NNG ¾Æ__02/IC ¹è/NNG+°í¼­/EC ¾ß__88/NNG+µé__09/XSN ½Å°æ__04/NNG ¸ó/MAG+½á__01/MAG+ÁÖ__01/VV+¤¤´Ù°í/EC µý__03/MM+µ¥__01/NNB+°¡__18/XSN+¤©¶ó/EC+Ä«/VX+¾Ò/EP+´Âµ¥/EC
11540,ÀÀ´äÇÏ¶ó1994,¼º³ªÁ¤,19,¿©,°æ³² ¸¶»ê,10´ë,´ëÇÐ»ý,ÁöµéÀÌ µýµ¥ ¾È°¬ÀÝ¾Æ,Áö__05/NP+µé__09/XSN+ÀÌ/JKS µý__03/MM+µ¥__01/NNB ¾È__01/NNG+°¡__01/VV+¾Ò/EP+ÀÝ¾Æ/EF
11541,ÀÀ´äÇÏ¶ó1994,¼ÕÈ£ÁØ,19,³²,Àü³² ¼øÃµ,10´ë,´ëÇÐ»ý,¾Æ´Ï ¾ß,¾Æ´Ï__02/IC ÀÌ__05/MM+¾ÆÀÌ__01/NNG
11542,ÀÀ´äÇÏ¶ó1994,¼ÕÈ£ÁØ,19,³²,Àü³² ¼øÃµ,10´ë,´ëÇÐ»ý,¿ä»õ ÀÌ ÇÏ¼÷Áý µé¾î¿Ã¶ó¹È ¾ó¸¶³ª ¸¹Àº ¾ÖµéÀÌ ·Îºñ¸¦ ÇØšü´ÂÁö ¾Æ³ª,¿ä»õ__01/NNG ÀÌ__05/MM ÇÏ¼÷Áý/NNG µé¾î¿À/VV+¤©/ETM+¶ó¹È/EC ¾ó¸¶³ª/MAG ¸¹/VA+Àº/ETM ¾Ö__02/NNG+µé__09/XSN+ÀÌ/JKS ·Îºñ__04/NNG+¸¦/JKO ÇÏ__01/VV+¾î/EC+?SL+ü´/SH+ÂÁ/SW ¾Ë/VV+³ª/EF
11543,ÀÀ´äÇÏ¶ó1994,¼º³ªÁ¤,19,¿©,°æ³² ¸¶»ê,10´ë,´ëÇÐ»ý,¿Í ÇÏ¼÷Áý µþ·¡¹Ì°¡ ÀÌ»µ¼­ ±×·¯³ª,¿À__01/VV+¾Æ/EC ÇÏ¼÷Áý/NNG µþ·¡¹Ì/NNG+°¡/JKS ÀÌ»Ú/VA+¾î¼­/EC ±×·¯³ª/MAJ
11544,ÀÀ´äÇÏ¶ó1994,¼ÕÈ£ÁØ,19,³²,Àü³² ¼øÃµ,10´ë,´ëÇÐ»ý,°Å¿ï ¾Èº¸³Ä,°Å¿ï__01/NNG ¾Èº¸__02/NNG+ÀÌ/VCP+³Ä/EF
11545,ÀÀ´äÇÏ¶ó1994,¼º³ªÁ¤,19,¿©,°æ³² ¸¶»ê,10´ë,´ëÇÐ»ý,¹Ì¾È,¹Ì¾È__01/NNG
11546,ÀÀ´äÇÏ¶ó1994,¼ºµ¿ÀÏ,47,³²,Àü³² °î¼º,40´ë,ÄÚÄ¡,¾Æ ±×³ªÀú³ª Àú,¾Æ__02/IC ±×³ªÀú³ª/MAG Àú__04/MM
11547,ÀÀ´äÇÏ¶ó1994,¼ºµ¿ÀÏ,47,³²,Àü³² °î¼º,40´ë,ÄÚÄ¡,Àú±â Á¤´ë¸¸ÀÌ Àú ÀÌ ±âÁö¹è À±ÁøÀÌ ÀÌ°Ç ¾ÆÁ÷µµ Ã³ ÀÚºüÀú ÀÜ´ë?,Àú±â__01/NP Á¤´ë¸¸/NNP+ÀÌ/JKS Àú__04/MM ÀÌ__05/MM ±âÁö¹è/NNG À±ÁøÀÌ/NNP ÀÌ°Í/NP+¤¤/JX ¾ÆÁ÷__01/MAG+µµ/JX Ã³__02/NNG ÀÚºü/VV+¾Æ/EC+Àú__04/MM ÀÜ´ë__01/NNG+?/SF
11548,ÀÀ´äÇÏ¶ó1994,¼ÕÈ£ÁØ,19,³²,Àü³² ¼øÃµ,10´ë,´ëÇÐ»ý,¾Æ´Ï¿¡¿ä ¾Æ±î ¾Ä°íÀÖ´Â°Å ³»°¡ ºÃ´Âµð,¾Æ´Ï/VCN+¿¡¿ä/EC ¾Æ±î/MAG ¾Ä/VV+°í/EC+ÀÖ__01/VA+´Â/ETM+°Í__01/NNB ³»__04/NP+°¡/JKS º¸__01/VV+¾Ò/EP+´Âµð/EC
11549,ÀÀ´äÇÏ¶ó1994,¼ºµ¿ÀÏ,47,³²,Àü³² °î¼º,40´ë,ÄÚÄ¡,¾Æ ¾ð´É¿À¶ó±×·¡ ¾ß ¹¹´Ù³Ä !!,¾Æ__02/IC ¾ð´É/NNG+¿À¶ó__01/NNG+±×·¡__01/IC ¾ß__04/IC ¹¹/NP+ÀÌ/VCP+´Ù³Ä/EC !/SF+!/SF
11550,ÀÀ´äÇÏ¶ó1994,¼ºµ¿ÀÏ,47,³²,Àü³² °î¼º,40´ë,ÄÚÄ¡,¾Æµû °¡¾¾³» !,¾Æµû__01/IC °¡__01/NNG+¾¾__07/NNB+³ª__03/NP+ÀÇ/JKG !/SF
11551,ÀÀ´äÇÏ¶ó1994,¼ºµ¿ÀÏ,47,³²,Àü³² °î¼º,40´ë,ÄÚÄ¡,Àú±â Á¤´ë¸¸ÀÌ Àú°Å À±ÁøÀÌ ÀÌ°Ç ¾ÆÁ÷µµ Ã³ ÀÚºüÀú ÀÜ´ë?,Àú±â__01/NP Á¤´ë¸¸/NNP+ÀÌ/JKS Àú°Å__01/NP À±ÁøÀÌ/NNP ÀÌ°Í/NP+¤¤/JX ¾ÆÁ÷__01/MAG+µµ/JX Ã³__02/NNG ÀÚºü/VV+¾Æ/EC+Àú__04/MM ÀÜ´ë__01/NNG+?/SF
11552,ÀÀ´äÇÏ¶ó1994,¼ºµ¿ÀÏ,47,³²,Àü³² °î¼º,40´ë,ÄÚÄ¡,¾Æ´Ï¿¡¿ä ¾Æ±î ¾Ä°íÀÖ´Â°Å ³»°¡ ºÃ´Âµð,¾Æ´Ï/VCN+¿¡¿ä/EC ¾Æ±î/MAG ¾Ä/VV+°í/EC+ÀÖ__01/VA+´Â/ETM+°Í__01/NNB ³»__04/NP+°¡/JKS º¸__01/VV+¾Ò/EP+´Âµð/EC
11553,ÀÀ´äÇÏ¶ó1994,¼ºµ¿ÀÏ,47,³²,Àü³² °î¼º,40´ë,ÄÚÄ¡,¾Æ ¾ð´É¿À¶ó±×·¡ ¾ß ¹¹´Ù³Ä !!,¾Æ__02/IC ¾ð´É/NNG+¿À¶ó__01/NNG+±×·¡__01/IC ¾ß__04/IC ¹¹/NP+ÀÌ/VCP+´Ù³Ä/EC !/SF+!/SF
11554,ÀÀ´äÇÏ¶ó1994,¼ºµ¿ÀÏ,47,³²,Àü³² °î¼º,40´ë,ÄÚÄ¡,¾Æµû °¡¾¾³» !,¾Æµû__01/IC °¡__01/NNG+¾¾__07/NNB+³ª__03/NP+ÀÇ/JKG !/SF
11555,ÀÀ´äÇÏ¶ó1994,¼ºµ¿ÀÏ,47,³²,Àü³² °î¼º,40´ë,ÄÚÄ¡,¾ßÀÌ °¡¾¾³»¾ß ¶§°¡ µÇ¸é ¾ð´É ¹äÀ» ¸Ô¾î¾ßÁö !,¾ßÀÌ/IC °¡__01/NNG+¾¾__07/NNB+³»¾ß/NNG ¶§__01/NNG+°¡/JKC µÇ__01/VV+¸é/EC ¾ð´É/MAG ¹ä__01/NNG+À»/JKO ¸Ô__02/VV+¾î¾ßÁö/EC !/SF
11556,ÀÀ´äÇÏ¶ó1994,¼ºµ¿ÀÏ,47,³²,Àü³² °î¼º,40´ë,ÄÚÄ¡,¹¹ Áö±Ý ±îÁö ¹¹ÇÏ°í ÀÚºüÁ³.............,¹¹/IC Áö±Ý__03/NNG ±îÁö/JX ¹¹ÇÏ/VA+°í/EC ÀÚºüÁö/VV+¾ú/EP+./SF+./SF+./SF+./SF+./SF+./SF+./SF+./SF+./SF+./SF+./SF+./SF+./SF
11557,ÀÀ´äÇÏ¶ó1994,Á¶À±Áø,19,¿©,Àü³² ¿©¼ö,10´ë,´ëÇÐ»ý,¾È³çÈ÷ ÁÖ¹«¼Ì¾î¿ä,¾È³çÈ÷/MAG ÁÖ¹«½Ã/VV+¾ú/EP+¾î¿ä/EF
11558,ÀÀ´äÇÏ¶ó1994,¼ÕÈ£ÁØ,19,³²,Àü³² ¼øÃµ,10´ë,´ëÇÐ»ý,¾îÀÌ Ä£±¸,¾îÀÌ__05/IC Ä£±¸__02/NNG
11559,ÀÀ´äÇÏ¶ó1994,¼ÕÈ£ÁØ,19,³²,Àü³² ¼øÃµ,10´ë,´ëÇÐ»ý,3¹ø..3¹øÀÎµð..3¹ø,3/SN+¹ø__04/NNB+./SF+.3/SN+¹ø__04/NNB+ÀÌ/VCP+¤¤µð/EF+./SF+.3/SN+¹ø__04/NNB
11560,ÀÀ´äÇÏ¶ó1994,±èµ¿ÁØ,19,³²,ÃæºÏ ±«»ê,10´ë,´ëÇÐ»ý,ÁøÂ¥ 3¹øÀÌ³×,ÁøÂ¥/NNG 3/SN+¹ø__04/NNB+ÀÌ/VCP+³×/EF
11561,ÀÀ´äÇÏ¶ó1994,¼ºµ¿ÀÏ,47,³²,Àü³² °î¼º,40´ë,ÄÚÄ¡,¾Æµû~ ¿ì¸® Àú±â Á¤´ë¸¸ÀÌ ,¾Æµû__01/IC+~/SO ¿ì¸®__03/NP Àú±â__01/NP Á¤´ë¸¸/NNP+ÀÌ/JKS
